Player,Nation,Squad 22-23,Comp,Actual Squad,Age,Height,Weight,Foot,MP,Starts,Min,Goals,Shots,SoT,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotDist,Assists,PasProg,PasAtt,PasLive,PasDead,PasCmp,SCA,GCA,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDriPast,Blocks,BlkSh,BlkPass,Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CarDis,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,Recov,AerWon,AerLost,Value (M)
Francesco Acerbi,ITA,Inter,Serie A,Inter,36,192.0,88.0,Left,28,20,1880,0.0,1.54,0.35,0.0,0.0,0.0,91.7,108.4,1651.9,0.08,9.98,108.4,103.80000000000001,4.33,91.7,3.65,0.0,4.21,1.9699999999999998,2.42,1.5599999999999998,0.23,1.21,2.08,0.45,1.64,1.9100000000000001,4.26,0.0,129.8,9.14,41.8,70.4,20.25,85.2,482.8,247.6,3.62,3.45,1.29,6.17,0.36,0.0,0.0,2.4699999999999998,2.01,0.08,1.29,1.9699999999999998,13.100000000000001,3.69,2.6799999999999997,9.5
Tosin Adarabioyo,ENG,Fulham,Premier League,Fulham,26,196.0,80.0,Right,29,27,2260,0.01,0.64,0.16,0.0,0.0,0.0,76.8,91.9,1422.2,0.08,7.99,91.9,88.7,2.91,76.8,1.65,0.08,4.87,2.43,3.46,1.3199999999999998,0.08,2.19,2.2199999999999998,0.89,1.3199999999999998,2.23,6.88,0.08,112.80000000000001,12.77,50.8,56.9,6.359999999999999,69.9,330.9,168.60000000000002,0.96,1.59,1.03,0.5499999999999999,0.32,0.0,0.0,1.59,1.26,0.0,0.31,2.43,11.18,2.44,0.8,10.0
Emmanuel Agbadou,CIV,Reims,Ligue 1,Stade de Reims ,27,192.0,86.0,Right,20,18,1610,0.0,0.79,0.11,0.0,0.0,0.0,63.4,80.8,1210.9,0.11,3.31,80.8,78.5,2.25,63.4,1.18,0.17,12.58,11.629999999999999,2.02,0.56,10.0,0.73,1.12,0.51,0.62,1.18,4.33,0.11,112.3,8.48,52.9,47.5,12.53,53.5,264.2,134.4,0.62,0.67,0.51,0.28,0.11,0.11,0.0,1.01,0.28,0.0,0.0,11.629999999999999,18.2,1.85,11.35,7.0
Joseph Aidoo,GHA,Celta Vigo,La Liga,Celta de Vigo,28,181.0,80.0,Right,24,23,2072,0.02,1.12,0.43000000000000005,0.0,0.0,0.0,82.4,105.1,1473.9,0.0,6.18,105.1,91.69999999999999,12.95,82.4,1.3,0.33,4.37,3.38,3.38,0.9299999999999999,0.05,0.5800000000000001,2.23,1.12,1.12,2.8,6.87,0.0,126.0,13.37,52.3,58.5,16.35,68.5,298.0,166.39999999999998,1.17,0.8700000000000001,0.97,3.77,0.15,0.0,0.0,1.27,1.02,0.0,1.33,3.38,12.5,2.75,3.85,15.0
Manuel Akanji,SUI,Manchester City,Premier League,Manchester City,28,187.0,91.0,Right,31,26,2271,0.02,2.24,0.51,0.09,0.0,0.0,122.7,143.8,2194.0,0.16,9.53,143.8,129.7,14.07,122.7,4.29,0.18,4.84,2.79,2.49,1.78,0.58,1.08,2.34,0.88,1.46,2.24,2.4699999999999998,0.0,163.0,8.66,52.800000000000004,81.80000000000001,29.33,104.0,576.3,338.3,3.2800000000000002,3.17,1.52,5.24,0.53,0.09,0.0,2.56,2.1399999999999997,0.09,7.82,2.79,12.899999999999999,2.03,2.32,30.5
Nathan Ake,NED,Manchester City,Premier League,Manchester City,29,180.0,75.0,Left,36,31,2733,0.04,2.37,0.74,0.0,0.0,0.0,98.8,114.2,1591.5,0.11,8.65,114.2,107.7,6.28,98.8,3.8,0.44999999999999996,2.11,1.24,0.97,0.9500000000000001,0.19,0.34,1.53,0.64,0.8900000000000001,1.25,2.67,0.0,131.0,5.79,34.77,69.8,27.4,81.8,372.1,210.70000000000002,1.78,1.21,0.91,5.74,0.0,0.0,0.0,2.4699999999999998,1.73,0.48000000000000004,0.9,1.24,7.29,4.69,6.36,29.0
Kevin Akpoguma,NGA,Hoffenheim,Bundesliga,TSG Hoffenheim,29,192.0,85.0,Right,32,13,1501,0.01,3.99,1.82,0.0,0.0,0.0,55.7,72.8,1006.7,0.19,7.949999999999999,72.8,66.80000000000001,5.76,55.7,3.9699999999999998,0.38,5.08,3.08,2.44,1.7799999999999998,0.86,1.5899999999999999,3.63,0.61,3.02,1.52,2.95,0.09,103.30000000000001,5.949999999999999,30.03,47.5,27.509999999999998,55.8,309.6,131.2,2.5,1.92,2.95,10.23,0.91,0.0,0.0,3.8,1.47,0.58,2.45,3.08,11.43,4.0,5.78,4.2
David Alaba,AUT,Real Madrid,La Liga,Real Madrid,32,180.0,78.0,Left,31,27,2460,0.02,0.9199999999999999,0.23,0.26,0.0,0.0,89.1,105.3,1552.2,0.2,6.44,105.3,98.0,6.74,89.1,1.99,0.26,1.73,0.94,1.08,0.36,0.28,0.5800000000000001,1.6099999999999999,1.19,0.42000000000000004,1.79,6.97,0.15000000000000002,119.9,15.89,56.3,51.7,12.780000000000001,66.9,323.4,195.8,1.21,1.8399999999999999,0.45,2.71,0.36,0.0,0.0,1.12,0.38,0.0,1.33,0.94,9.34,2.46,0.8,37.0
Omar Alderete,PAR,Getafe,La Liga,Getafe,27,188.0,77.0,Left,21,13,1282,0.01,2.65,0.83,0.0,0.0,0.0,54.6,78.0,901.8000000000001,0.28,7.470000000000001,78.0,73.2,4.1,54.6,3.5,0.42,2.8200000000000003,1.4000000000000001,1.28,0.99,0.56,1.4,2.94,0.71,2.24,1.28,4.85,0.0,104.4,5.550000000000001,28.56,53.0,23.83,55.2,268.5,150.4,3.07,1.68,1.81,9.18,0.5700000000000001,0.0,0.0,4.47,3.6399999999999997,0.28,1.1199999999999999,1.4000000000000001,9.18,4.67,3.93,12.0
Marcos Alonso,ESP,Barcelona,La Liga,FC Barcelona,33,188.0,84.0,Left,30,14,1395,0.02,1.5899999999999999,0.37,0.12,0.0,0.0,106.19999999999999,120.5,1880.8999999999999,0.0,8.790000000000001,120.5,115.69999999999999,4.41,106.19999999999999,3.2199999999999998,0.37,1.63,0.84,0.95,0.43,0.23,0.61,2.29,1.1,1.19,1.22,3.0199999999999996,0.0,136.5,7.859999999999999,40.93,75.3,20.46,87.7,460.9,251.3,2.1100000000000003,1.2799999999999998,1.2999999999999998,5.14,0.49,0.0,0.0,2.03,2.21,0.58,2.06,0.84,10.219999999999999,2.17,2.21,9.5
