Player,Nation,Squad 22-23,Comp,Actual Squad,Age,Height,Weight,Foot,MP,Starts,Min,Goals,Shots,SoT,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotDist,Assists,PasProg,PasAtt,PasLive,PasDead,PasCmp,SCA,GCA,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDriPast,Blocks,BlkSh,BlkPass,Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CarDis,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,Recov,AerWon,AerLost,Value (M),score_complessivo,similarita_coseno,similarita_ponderata_coseno
Francesco Acerbi,ITA,Inter,Serie A,Inter,36,192.0,88.0,1,28,20,1880,0.0,1.54,0.35,0.0,0.0,0.0,91.7,108.4,1651.9,0.08,9.98,108.4,103.8,4.33,91.7,3.65,0.0,4.21,1.97,2.42,1.5599999999999998,0.23,1.21,2.08,0.45,1.64,1.91,4.26,0.0,129.8,9.14,41.8,70.4,20.25,85.2,482.8,247.6,3.62,3.45,1.29,6.17,0.36,0.0,0.0,2.47,2.01,0.08,1.29,1.97,13.1,3.69,2.68,9.5,1.0,1.0,0.966
Stefan Bell,GER,Mainz 05,Bundesliga,FSV Mainz 05,32,192.0,88.0,0,36,29,2581,0.01,1.55,0.19,0.19,0.0,0.0,103.0,138.0,1974.5,0.06,10.87,138.0,119.0,18.16,103.0,4.79,0.39,2.78,2.0,2.12,0.47,0.19,1.51,2.3200000000000003,0.8,1.52,3.51,5.46,0.0,157.9,9.44,53.3,76.0,29.630000000000003,84.4,342.7,173.0,2.13,1.37,1.12,5.779999999999999,0.5800000000000001,0.0,0.0,2.63,0.5800000000000001,0.35,9.5,2.0,15.43,4.55,3.2,2.1,1.0,0.9451640290397127,0.9166476261357415
Maxence Lacroix,FRA,Wolfsburg,Bundesliga,VfL Wolfsburg,24,190.0,88.0,0,24,16,1379,0.01,1.22,0.09,0.24,0.0,0.0,86.3,104.7,1670.1,0.0,7.77,104.7,100.6,3.63,86.3,2.21,0.0,3.19,2.5900000000000003,1.34,1.61,0.24,1.02,1.59,0.45,1.14,2.81,6.0,0.0,123.9,10.59,49.49,66.5,10.37,74.19999999999999,415.7,217.4,2.74,1.37,1.73,2.14,0.24,0.0,0.0,3.13,1.73,0.0,1.28,2.5900000000000003,12.92,3.54,2.5700000000000003,15.5,0.6065167471281854,0.9663055733527944,0.9097060395585488
Matthijs de Ligt,NED,Bayern Munich,Bundesliga,FC Bayern Munchen,24,189.0,89.0,0,37,31,2680,0.02,1.65,0.87,0.12,0.0,0.0,122.4,138.3,2238.0,0.18,12.1,138.3,133.7,4.32,122.4,4.94,0.49,4.09,2.25,1.5699999999999998,1.65,0.8700000000000001,2.36,2.79,0.95,1.84,1.94,4.86,0.0,159.7,11.16,52.3,82.69999999999999,25.72,117.7,559.6,260.2,1.84,3.14,1.36,3.69,0.3399999999999999,0.0,0.0,2.7,1.59,0.27,2.65,2.25,14.41,3.74,3.1,57.5,0.3678570901779707,0.9674955378693417,0.8950260271997228
Robin Koch,GER,Leeds United,Premier League,Eintracht Frankfurt,27,191.0,85.0,0,42,21,2223,0.0,2.43,0.05,0.0,0.0,0.0,101.8,124.2,1780.1,0.0,12.85,124.2,119.7,4.32,101.8,5.31,0.19,4.09,1.64,1.46,1.5599999999999998,1.06,0.67,2.92,0.81,2.12,1.87,4.23,0.05,146.8,8.23,44.4,67.0,37.71,86.7,445.3,227.3,4.4,3.72,1.97,5.21,0.45,0.0,0.0,1.81,2.1,0.0,3.51,1.64,12.86,3.33,2.26,15.5,0.3678570901779707,0.9659259821724288,0.8936134270725011
Nico Schlotterbeck,GER,Dortmund,Bundesliga,Borussia Dortmund,24,191.0,86.0,1,26,20,1844,0.03,2.34,1.88,0.0,0.0,0.0,95.4,114.8,1749.8,0.21,9.96,114.8,110.6,4.05,95.4,5.41,0.31,4.88,2.23,3.12,1.71,0.05,1.45,2.23,0.73,1.5,1.97,3.78,0.05,145.4,9.28,46.83,69.1,31.85,93.2,523.0,295.3,5.67,3.17,4.48,9.53,0.16,0.0,0.0,1.45,2.19,0.05,3.02,2.23,15.17,2.49,4.83,39.5,0.47234789628130874,0.9572377031186934,0.8926901252877311
Lilian Brassier,FRA,Brest,Ligue 1,Brest,24,186.0,78.0,1,40,39,3409,0.01,1.15,0.15,0.0,0.0,0.0,94.1,116.8,1751.3000000000002,0.05,13.05,116.8,108.0,8.45,94.1,3.44,0.31,5.4,3.02,2.52,2.3200000000000003,0.56,2.07,2.94,0.85,2.09,3.45,5.640000000000001,0.0,141.10000000000002,9.36,44.7,79.2,18.46,99.5,533.3,241.2,2.11,2.1,1.98,2.91,0.42,0.0,0.0,2.61,1.92,0.05,1.99,3.02,14.41,4.42,2.87,10.5,0.018280927755802444,0.9779782744382673,0.8813892791610971
Kevin Vogt,GER,Hoffenheim,Bundesliga,FC Union Berlin,32,194.0,87.0,0,31,22,1935,0.03,1.67,0.64,0.0,0.0,0.0,82.4,95.9,1624.3,0.13,8.24,95.9,90.1,5.35,82.4,3.04,0.13,4.28,2.4,1.4300000000000002,2.47,0.38,1.47,2.14,0.5700000000000001,1.57,2.42,3.43,0.0,118.9,9.76,42.36,57.6,20.13,81.2,529.9000000000001,293.5,3.7,1.92,2.46,6.86,0.8200000000000001,0.0,0.0,3.53,3.1,0.51,2.51,2.4,11.7,1.47,2.14,5.0,0.47234789628130874,0.9445122417198254,0.8812372100287499
Edmond Tapsoba,BFA,Leverkusen,Bundesliga,Bayer 04 Leverkusen,25,194.0,84.0,0,28,27,2375,0.04,2.76,1.03,0.0,0.05,0.05,88.4,105.9,1553.0,0.29,8.42,105.9,102.4,3.56,88.4,3.96,0.69,3.1,2.1,1.41,1.39,0.3,1.05,2.0,0.61,1.39,1.51,2.96,0.05,128.2,8.04,39.28,61.5,28.16,82.19999999999999,516.4,263.7,4.26,2.47,3.89,10.7,0.4399999999999999,0.0,0.0,2.68,2.91,0.29,1.13,2.1,12.49,2.16,3.34,33.0,0.22310269100116623,0.9606838165508004,0.8793420254655168
Kevin Danso,AUT,Lens,Ligue 1,Lens,25,190.0,85.0,0,40,38,3299,0.01,0.86,0.05,0.0,0.0,0.0,93.8,107.0,1669.6,0.05,7.31,107.0,97.6,9.5,93.8,3.31,0.38,2.77,1.39,1.82,0.63,0.32,0.82,1.79,1.06,0.73,2.02,5.0600000000000005,0.0,125.8,10.7,46.6,63.900000000000006,16.63,90.9,610.7,324.0,3.13,2.68,1.09,4.38,0.3,0.0,0.0,1.43,3.27,0.12,1.43,1.39,12.49,2.69,1.48,27.0,0.28647956856092865,0.9558715499397716,0.879193711538567
