Player,Age,Squad,Height,Weight,Foot,Value
V. van Dijk CB,31,"Liverpool
2018 ~ 2025","193cm / 6'4""",92kg / 203lbs,Right,€70.5M
Rúben Dias CB,26,"Manchester City
2020 ~ 2027","187cm / 6'2""",82kg / 181lbs,Right,€106.5M
Marquinhos CB,29,"Paris Saint Germain
2013 ~ 2028","183cm / 6'0""",75kg / 165lbs,Right,€73.5M
R. Araujo CB RB,24,"FC Barcelona
2018 ~ 2026","188cm / 6'2""",79kg / 174lbs,Right,€93M
Éder Militão CB,25,"Real Madrid
2019 ~ 2028","186cm / 6'1""",78kg / 172lbs,Right,€80M
J. Stones CB CDM RB,29,"Manchester City
2016 ~ 2026","188cm / 6'2""",76kg / 168lbs,Right,€49.5M
A. Bastoni CB,24,"Inter
2017 ~ 2028","190cm / 6'3""",75kg / 165lbs,Left,€73.5M
J. Koundé CB RB,24,"FC Barcelona
2022 ~ 2027","180cm / 5'11""",75kg / 165lbs,Right,€69.5M
D. Alaba CB LB,31,"Real Madrid
2021 ~ 2026","180cm / 5'11""",78kg / 172lbs,Left,€37M
A. Rüdiger CB,30,"Real Madrid
2022 ~ 2026","190cm / 6'3""",86kg / 190lbs,Right,€44M
Gabriel CB,25,"Arsenal
2020 ~ 2027","190cm / 6'3""",87kg / 192lbs,Left,€47M
W. Saliba CB,22,"Arsenal
2019 ~ 2027","193cm / 6'4""",85kg / 187lbs,Right,€58.5M
Thiago Silva CB,38,"Chelsea
2020 ~ 2024","183cm / 6'0""",79kg / 174lbs,Right,€7.5M
L. Martínez CB,25,"Manchester United
2022 ~ 2027","178cm / 5'10""",77kg / 170lbs,Left,€49.5M
L. Hernández LB CB,27,"Paris Saint Germain
2023 ~ 2028","184cm / 6'0""",79kg / 174lbs,Left,€40.5M
M. de Ligt CB,23,"FC Bayern München
2022 ~ 2027","189cm / 6'2""",89kg / 196lbs,Right,€57.5M
Kim Min Jae CB,26,"FC Bayern München
2023 ~ 2028","190cm / 6'3""",86kg / 190lbs,Right,€46M
M. Hummels CB,34,"Borussia Dortmund
2019 ~ 2024","191cm / 6'3""",94kg / 207lbs,Right,€13.5M
Bremer CB,26,"Juventus
2022 ~ 2027","188cm / 6'2""",82kg / 181lbs,Right,€49M
F. Tomori CB,25,"Milan
2021 ~ 2027","185cm / 6'1""",79kg / 174lbs,Right,€52.5M
C. Smalling CB,33,"Roma
2020 ~ 2025","194cm / 6'4""",81kg / 179lbs,Right,€20M
A. Tchouaméni CDM CM CB,23,"Real Madrid
2022 ~ 2028","188cm / 6'2""",82kg / 181lbs,Right,€58.5M
Pau Torres CB,26,"Aston Villa
2023 ~ 2028","191cm / 6'3""",80kg / 176lbs,Left,€42M
R. Varane CB,30,"Manchester United
2021 ~ 2024","191cm / 6'3""",81kg / 179lbs,Right,€30M
S. Botman CB,23,"Newcastle United
2022 ~ 2027","193cm / 6'4""",81kg / 179lbs,Left,€47M
C. Romero CB,25,"Tottenham Hotspur
2022 ~ 2027","185cm / 6'1""",79kg / 174lbs,Right,€45.5M
M. Škriniar CB,28,"Paris Saint Germain
2023 ~ 2028","188cm / 6'2""",80kg / 176lbs,Right,€31.5M
D. Upamecano CB,24,"FC Bayern München
2021 ~ 2026","186cm / 6'1""",90kg / 198lbs,Right,€44.5M
N. Süle CB RB,27,"Borussia Dortmund
2022 ~ 2026","195cm / 6'5""",99kg / 218lbs,Right,€38.5M
M. Ginter CB,29,"SC Freiburg
2022 ~ 2026","189cm / 6'2""",87kg / 192lbs,Right,€30.5M
J. Tah CB,27,"Bayer 04 Leverkusen
2015 ~ 2025","195cm / 6'5""",94kg / 207lbs,Right,€36.5M
W. Orban CB,30,"RB Leipzig
2015 ~ 2027","186cm / 6'1""",87kg / 192lbs,Right,€30M
F. Acerbi CB,35,"Inter
2023 ~ 2025","192cm / 6'4""",88kg / 194lbs,Left,€9.5M
F. Dimarco LWB LM CB,25,"Inter
2018 ~ 2026","175cm / 5'9""",75kg / 165lbs,Left,€42M
B. Pavard CB RB,27,"Inter
2023 ~ 2028","186cm / 6'1""",81kg / 179lbs,Right,€36.5M
A. Romagnoli CB,28,"Lazio
2022 ~ 2027","185cm / 6'1""",75kg / 165lbs,Left,€31.5M
G. Mancini CB,27,"Roma
2020 ~ 2027","190cm / 6'3""",77kg / 170lbs,Right,€38.5M
J. Giménez CB,28,"Atlético Madrid
2013 ~ 2025","185cm / 6'1""",79kg / 174lbs,Right,€34.5M
A. Christensen CB CDM,27,"FC Barcelona
2022 ~ 2026","187cm / 6'2""",82kg / 181lbs,Right,€38.5M
Nacho Fernández CB LB RB,33,"Real Madrid
2010 ~ 2024","180cm / 5'11""",76kg / 168lbs,Right,€17.5M
Sergio Ramos CB,37,"Sevilla
2023 ~ 2024","184cm / 6'0""",82kg / 181lbs,Right,€6.5M
I. Konaté CB,24,"Liverpool
2021 ~ 2026","194cm / 6'4""",95kg / 209lbs,Right,€41.5M
N. Aké CB LB,28,"Manchester City
2020 ~ 2027","180cm / 5'11""",75kg / 165lbs,Left,€29M
M. Akanji CB,27,"Manchester City
2022 ~ 2027","187cm / 6'2""",91kg / 201lbs,Right,€30.5M
J. Gvardiol CB LB,21,"Manchester City
2023 ~ 2028","185cm / 6'1""",80kg / 176lbs,Left,€44.5M
